30488,33375
31000,33409
31772,33410
28,6647,60122
152,6535,60120
272,6436,60106
294,6426,60080
320,6480,60016
384,6421,60004
482,6332,59986
512,6368,59936
608,6296,59900
646,6244,59880
700,6232,59860
750,6381,59684
768,6160,59826
780,6199,59834
800,6164,59832
862,6322,59621
880,6142,59792
896,6124,59768
944,6096,59762
960,6350,59504
960,6408,59428
992,6072,59662
1024,6084,59674
1072,6078,59664
1088,6448,59272
1104,6562,59144
1104,6868,58841
1112,6588,59113
1116,6752,58946
1120,6746,58934
1120,6852,58813
1128,6052,59636
1128,6632,59056
1136,6570,59106
1152,6048,59616
1152,7050,58612
1152,7129,58528
1152,7170,58468
1152,7224,58436
1152,7278,58358
1160,7128,58522
1164,7092,58544
1168,6968,58672
1172,6914,58722
1184,7363,58268
1184,7368,58263
1188,6844,58784
1192,6964,58650
1192,7336,58280
1198,6967,58651
1200,6008,59608
1200,6840,58776
1208,7456,58152
1212,7518,58086
1216,7572,58024
1216,7622,57972
1216,7684,57904
1216,7712,57886
1224,6944,58648
1224,7372,58214
1232,7124,58457
1238,7776,57798
1248,7683,57883
1248,7791,57776
1260,5997,59556
1264,7982,57568
1264,8004,57528
1274,7937,57604
1280,7122,58400
1280,7532,57992
1280,7752,57780
1280,7856,57674
1282,6896,58626
1284,5988,59544
1308,7632,57846
1312,5962,59531
1312,7088,58397
1328,5954,59526
1344,7478,57981
1348,5948,59516
1360,8201,57242
1360,8284,57170
1360,8320,57128
1360,8351,57084
1360,8471,56975
1364,6826,58623
1368,8042,57400
1368,8172,57272
1376,8002,57424
1380,7960,57469
1384,7899,57523
1392,6808,58616
1408,6806,58596
1408,8590,56816
1408,8608,56795
1416,8884,56510
1424,6805,58580
1424,8376,57012
1432,8712,56653
1440,8490,56884
1440,8560,56811
1452,8782,56582
1452,9148,56206
1456,5882,59476
1456,7848,57504
1456,9072,56282
1472,5880,59450
1472,8116,57220
1472,8956,56376
1488,8108,57218
1488,9170,56156
1492,9424,55900
1500,9440,55844
1504,8676,56630
1512,9398,55896
1520,8672,56620
1528,9208,56076
1536,8088,57166
1536,9252,56024
1536,9322,55952
1536,9644,55630
1556,5872,59379
1568,9478,55768
1584,10072,55160
1592,10210,55002
1592,10360,54812
1596,9773,55446
1600,9184,56007
1600,10044,55136
1604,8339,56852
1608,7445,57732
1616,5832,59362
1632,5826,59352
1640,10176,55000
1648,10336,54800
1656,10032,55089
1664,9607,55536
1664,9846,55289
1664,9848,55292
1666,9608,55542
1670,5822,59324
1692,9604,55520
1696,8336,56776
1696,10671,54432
1716,10524,54566
1728,9116,55951
1728,10004,55053
1728,10851,54196
1752,9760,55288
1776,5804,59234
1784,10964,54068
1792,5792,59232
1792,11051,53972
1792,11324,53666
1800,11216,53795
1808,10616,54392
1810,5784,59220
1816,9112,55884
1816,11168,53794
1824,10962,54011
1840,9720,55252
1856,10734,54191
1856,11292,53660
1864,9106,55840
1876,5764,59161
1892,11636,53288
1920,10708,54160
