22976,40306
33024,33240
4,6648,60134
64,6624,60100
144,6592,60072
236,6488,60070
412,6358,60036
448,6352,60008
492,6288,60018
512,6248,60000
576,6240,59944
704,6182,59918
768,6112,59854
832,6112,59872
896,6014,59784
896,6236,59676
904,6088,59804
960,6028,59792
1024,6196,59588
1024,6402,59388
1040,5980,59766
1040,5982,59780
1088,5968,59752
1112,6420,59280
1112,6606,59096
1120,6712,58982
1120,6752,58944
1120,6850,58840
1124,6476,59216
1128,6936,58736
1132,6764,58912
1136,6530,59142
1148,7271,58364
1152,7048,58612
1160,7280,58376
1168,6756,58890
1168,7044,58598
1168,7142,58504
1168,7273,58374
1172,6444,59190
1184,7341,58278
1184,7344,58288
1192,6844,58776
1196,5956,59664
1200,7448,58160
1200,7472,58144
1200,7584,58032
1216,7504,58096
1216,7646,57945
1216,7701,57880
1232,7490,58093
1236,6440,59138
1240,7996,57577
1248,7780,57772
1248,8041,57513
1268,6826,58720
1276,5896,59644
1276,8172,57368
1280,7663,57872
1280,7880,57642
1280,8095,57436
1280,8110,57420
1288,7264,58260
1288,7753,57760
1296,6398,59116
1300,5878,59638
1304,7662,57830
1320,7400,58089
1328,5872,59602
1328,8254,57228
1328,8304,57178
1344,7844,57626
1344,8152,57312
1344,8324,57144
1344,8352,57103
1344,8380,57072
1352,7836,57621
1360,7968,57484
1364,6736,58716
1368,7393,58053
1368,8432,57012
1376,8563,56864
1392,8504,56914
1408,8408,56984
1408,8527,56880
1408,8613,56764
1420,5868,59528
1424,7380,58009
1440,5864,59512
1440,8192,57174
1440,9032,56340
1452,8822,56541
1454,8996,56361
1456,7368,57992
1466,9120,56230
1468,9052,56294
1472,9226,56070
1472,9279,56028
1472,9362,55956
1472,9364,55974
1478,5844,59488
1488,9038,56281
1496,8144,57167
1522,9406,55879
1528,9360,55928
1528,9391,55895
1532,10208,55073
1532,10244,55024
1536,9968,55308
1538,9142,56134
1546,10162,55090
1550,9962,55272
1552,8781,56481
1552,9787,55472
1560,9459,55771
1560,9774,55467
1568,9400,55846
1592,9624,55600
1600,10339,54866
1600,10580,54622
1600,10592,54624
1608,10230,54964
1616,5802,59398
1618,8142,57048
1628,10406,54772
1632,7216,57964
1632,9596,55582
1648,10289,54864
1664,9523,55580
1664,10608,54542
1672,9088,55992
1680,9101,56006
1696,8072,57046
1704,5750,59360
1712,7132,57944
1722,5736,59340
1742,10941,54124
1744,10728,54330
1754,10536,54524
1764,11368,53671
1780,10972,54060
1788,11468,53558
1792,11052,53960
1792,11312,53687
1792,11627,53376
1800,10955,54024
1804,10518,54471
1808,9456,55544
1808,9906,55088
1820,9080,55910
1828,9896,55072
1852,12256,52662
1856,11684,53264
1872,11798,53136
1872,11992,52950
1872,12216,52726
1880,11283,53652
1888,12116,52804
1890,11742,53176
1910,10488,54411
1912,9884,55013
1920,7820,57045
1920,12712,52168
1952,8958,55904
1956,13088,51763
1966,13084,51762
1968,12546,52284
1968,13000,51826
1984,9866,54952
1984,11681,53126
1988,5728,59084
2032,13491,51292
2044,12642,52128
2048,13541,51224
2048,13900,50796
2054,13762,50928
2056,12940,51813
2066,5688,59052
2080,13272,51436
2080,13506,51168
2096,11600,53110
2112,5666,59032
2128,11558,53076
2188,14042,50567
2190,13986,50629
2192,11552,53072
2208,14536,50034
2240,11536,53024
2240,13446,51116
2240,14264,50306
2272,14723,49814
2272,15154,49384
2272,17001,47536
2272,17066,47463
2280,16056,48480
2284,16219,48303
2288,14816,49704
2304,15764,48746
2308,16603,47900
2324,15328,49149
2328,12820,51650
2334,11472,53008
2348,15248,49220
2352,16842,47496
2352,16868,47560
2356,13356,51104
2384,8902,55530
2416,15216,49133
2432,5652,58700
2432,11452,52912
2496,17492,46752
2500,14170,50140
2508,13264,51024
2508,15429,48868
2524,11422,52865
2560,5624,58626
2560,8732,55515
2584,17160,47066
2592,11410,52801
2592,17949,46274
2616,17860,46338
2624,17122,47050
2624,17648,46514
2640,11408,52760
2664,18248,45828
2688,16736,47355
2688,18108,46020
2696,14112,49970
2700,13168,50904
2708,9840,54248
2748,18411,45648
2776,9837,54184
2796,19066,44920
2804,18606,45388
2816,9824,54176
2832,18694,45279
2848,7118,56828
2896,20076,43808
2900,19576,44322
2928,16584,47304
2944,21334,42480
2946,21030,42732
2952,19122,44723
2984,19232,44600
2996,19424,44386
3008,20123,43634
3008,20581,43148
3008,20592,43164
3028,19716,43986
3040,19724,44002
3084,15062,48634
3152,20316,43336
3200,19322,44258
3200,21408,42128
3200,21666,41920
3216,11157,52440
3242,14964,48592
3288,22146,41345
3292,20840,42669
3296,16524,46996
3312,21852,41616
3320,21626,41816
3328,21237,42121
3412,16462,46893
3420,16474,46920
3496,14737,48580
3520,22042,41218
3520,22104,41184
3568,14668,48570
3588,12545,50682
3648,22302,40866
3682,24726,38384
3696,12503,50610
