6444,9236
4,1644,14764
28,1634,14737
52,1656,14704
64,1621,14716
64,1744,14584
64,1754,14597
64,1773,14573
84,1620,14700
128,1604,14676
128,1772,14500
152,1592,14666
160,1561,14609
160,1581,14638
164,1585,14648
192,1582,14640
208,1564,14612
256,1801,14352
272,1854,14289
278,1824,14314
280,1824,14312
280,1840,14293
288,1858,14268
288,1884,14241
288,2096,14024
288,2108,14012
288,2133,13986
288,2164,13960
294,1898,14224
296,1853,14265
300,2184,13929
302,1920,14194
304,2361,13750
304,2472,13632
304,2528,13583
306,1541,14569
306,2202,13905
310,1813,14292
312,2324,13778
312,2360,13744
314,1908,14193
320,2256,13828
320,2448,13628
320,2520,13550
320,2542,13553
320,2598,13488
322,1528,14545
324,1537,14548
348,2814,13252
352,1800,14264
352,2106,13957
352,2661,13398
352,2728,13332
352,2776,13284
354,2390,13672
358,1796,14257
358,1797,14261
358,2692,13366
362,1517,14537
368,2584,13464
368,3002,13042
370,2093,13953
376,2722,13302
376,3048,12978
376,3172,12848
384,1507,14522
384,2081,13936
384,2612,13416
400,3286,12722
400,3334,12676
400,3386,12626
404,1488,14521
408,3213,12791
410,3162,12842
414,1482,14520
414,2077,13925
414,3652,12312
416,3536,12464
416,3572,12418
416,3604,12354
418,2387,13608
420,2073,13921
424,3344,12612
426,3124,12836
432,2348,13606
436,1793,14176
448,1480,14476
464,2342,13604
464,3776,12164
464,3846,12100
468,2056,13892
472,2053,13890
476,2704,13223
476,3100,12818
480,1462,14473
480,1771,14164
480,2051,13864
500,1456,14458
508,3770,12132
512,2691,13200
512,3096,12804
516,2040,13857
520,1452,14440
532,3929,11900
536,3092,12786
536,3572,12303
544,3082,12781
544,3768,12080
544,3822,12036
544,3944,11912
560,2026,13800
576,1436,14394
592,4790,10960
592,5011,10812
596,4130,11688
596,4792,11012
600,3044,12772
600,3524,12291
604,4374,11430
604,4560,11221
604,4568,11224
608,3856,11891
608,3911,11894
608,4208,11572
608,4341,11462
612,3522,12272
616,3026,12740
616,3031,12760
626,2572,13188
628,2582,13189
632,2584,13199
664,3492,12260
672,5436,10304
672,5506,10228
676,4331,11404
680,3021,12712
684,5386,10296
686,5268,10455
688,3480,12248
688,5048,10680
696,3012,12708
696,4508,11209
704,4976,10734
712,3472,12228
712,4328,11360
728,4180,11504
736,4738,10936
736,5206,10448
736,5488,10170
752,3468,12190
752,3468,12196
764,4969,10670
768,3764,11879
784,5765,9840
800,5164,10405
800,5656,9954
824,4676,10916
828,2992,12592
832,1420,14142
864,5866,9663
864,6096,9455
866,5714,9810
872,1401,14132
896,5924,9594
896,7306,8213
928,2336,13150
944,5980,9483
956,6602,7688
988,7161,8265
992,6624,8209
992,6646,8210
1000,6909,8504
1008,6687,8212
1024,6793,8216
1040,6826,8218
1046,6832,8220
1048,6844,8442
1076,5896,9439
1088,4158,11170
1100,5852,9416
1108,3439,11830
1152,3432,11824
1162,6834,8226
1168,6840,8393
1172,5848,9378
1184,3429,11802
1192,5815,9352
1216,2008,13144
1312,2004,13096
1328,6837,8248
1336,6836,8240
1360,2982,9244
1364,5536,9314
1366,4044,10164
1380,4112,10360
900,2988,2990,9308
912,1364,3424,10100
944,1360,6557,6600
1344,1358,1360,9104
